Model,Threshold,Sensitivity,Specificity,Macro F1,Accuracy,PR-AUC,Pass?
SNN,0.2109,0.8085,0.2756,0.2282,0.2817,0.1145,✗
CNN,0.0059,0.8085,0.7759,0.4742,0.7762,0.2764,✗
